Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 10:54:11 2026,91,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 157, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 61, 39, 61, 0, 1, 5, 99, 0, 86, 8, 212, 20, 120, 254, 161, 12, 197, 253, 53, 151, 110, 2, 254
Sun Jul 19 10:54:12 2026,92,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 6, 159, 0, 0, 0, 0, 0, 1, 0, 0, 39, 62, 39, 62, 0, 1, 5, 99, 0, 69, 8, 212, 20, 120, 254, 161, 12, 200, 253, 53, 151, 118, 2, 254
Sun Jul 19 10:54:13 2026,93,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 157, 4, 159, 0, 0, 0, 0, 0, 1, 0, 0, 39, 63, 39, 63, 0, 1, 5, 104, 0, 48, 8, 212, 20, 120, 254, 161, 12, 219, 253, 53, 151, 136, 2, 254
Sun Jul 19 10:54:15 2026,94,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 64, 39, 64, 0, 1, 5, 105, 0, 68, 8, 212, 20, 120, 254, 161, 12, 210, 253, 53, 151, 136, 2, 254
Sun Jul 19 10:54:16 2026,95,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 65, 39, 65, 0, 1, 5, 104, 0, 87, 8, 212, 20, 120, 254, 161, 12, 210, 253, 53, 151, 142, 2, 254
Sun Jul 19 10:54:17 2026,96,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 157, 6, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 66, 39, 66, 0, 1, 5, 98, 0, 55, 8, 212, 20, 120, 254, 161, 12, 219, 253, 53, 151, 135, 2, 254
Sun Jul 19 10:54:18 2026,97,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 157, 6, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 67, 39, 67, 0, 1, 5, 109, 0, 50, 8, 212, 20, 120, 254, 161, 12, 231, 253, 53, 151, 138, 2, 254
Sun Jul 19 10:54:20 2026,98,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 68, 39, 68, 0, 1, 5, 92, 0, 83, 8, 212, 20, 120, 254, 161, 12, 239, 253, 53, 151, 140, 2, 254
Sun Jul 19 10:54:21 2026,99,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 2, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 69, 39, 69, 0, 1, 5, 100, 0, 75, 8, 212, 20, 120, 254, 161, 12, 244, 253, 53, 151, 136, 2, 254
Sun Jul 19 10:54:22 2026,100,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 159, 2, 158, 0, 0, 0, 0, 0, 1, 0, 0, 39, 70, 39, 70, 0, 1, 5, 98, 0, 52, 8, 212, 20, 120, 254, 161, 12, 244, 253, 53, 151, 138, 2, 254
Sun Jul 19 10:54:23 2026,101,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 158, 2, 158, 0, 0, 0, 0, 0, 1, 0, 0, 39, 71, 39, 71, 0, 1, 5, 113, 0, 63, 8, 212, 20, 120, 254, 161, 13, 5, 253, 53, 151, 146, 2, 254
Sun Jul 19 10:54:24 2026,102,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 158, 2, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 72, 39, 72, 0, 1, 5, 101, 0, 81, 8, 212, 20, 120, 254, 161, 13, 27, 253, 53, 151, 139, 2, 255
Sun Jul 19 10:54:26 2026,103,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 159, 2, 158, 0, 0, 0, 0, 0, 1, 0, 0, 39, 73, 39, 73, 0, 1, 5, 103, 0, 70, 8, 212, 20, 120, 254, 161, 13, 32, 253, 53, 151, 134, 2, 255
Sun Jul 19 10:54:27 2026,104,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 74, 39, 74, 0, 1, 5, 115, 0, 51, 8, 212, 20, 120, 254, 161, 13, 31, 253, 53, 151, 129, 2, 254
Sun Jul 19 10:54:28 2026,105,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 159, 2, 158, 0, 0, 0, 0, 0, 1, 0, 0, 39, 75, 39, 75, 0, 1, 5, 111, 0, 57, 8, 212, 20, 120, 254, 161, 13, 14, 253, 53, 151, 124, 2, 254
Sun Jul 19 10:54:30 2026,106,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 2, 157, 0, 0, 0, 0, 0, 1, 0, 0, 39, 76, 39, 76, 0, 1, 5, 113, 0, 84, 8, 212, 20, 120, 254, 161, 13, 18, 253, 53, 151, 106, 2, 255
Sun Jul 19 10:54:31 2026,107,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 4, 156, 0, 0, 0, 0, 0, 1, 0, 0, 39, 77, 39, 77, 0, 1, 5, 102, 0, 82, 8, 212, 20, 120, 254, 161, 13, 12, 253, 53, 151, 57, 2, 255
